Employee ID,Employee Name,2024 Review 2,2024 Review 1,2023 Review 2,2023 Review 1,2022 Review 2,2022 Review 1,2021 Review 2,2021 Review 1,2020 Review 2,2020 Review 1,2019 Review 2,2019 Review 1,2018 Review 2,2018 Review 1,2017 Review 2,2017 Review 1,2016 Review 2,2016 Review 1,2015 Review 2,2015 Review 1
E0045,Employee_45,negative,positive,negative,,,,,,,,,,,,,,,,,
E0046,Employee_46,positive,positive,negative,,,,,,,,,,,,,,,,,
E0047,Employee_47,positive,negative,negative,,,,,,,,,,,,,,,,,
E0048,Employee_48,positive,positive,negative,,,,,,,,,,,,,,,,,
E0049,Employee_49,negative,positive,negative,,,,,,,,,,,,,,,,,
E0050,Employee_50,negative,positive,positive,,,,,,,,,,,,,,,,,
E0051,Employee_51,positive,positive,positive,,,,,,,,,,,,,,,,,
E0052,Employee_52,negative,negative,negative,,,,,,,,,,,,,,,,,
E0053,Employee_53,negative,negative,negative,,,,,,,,,,,,,,,,,
E0054,Employee_54,positive,negative,negative,,,,,,,,,,,,,,,,,
E0055,Employee_55,positive,positive,positive,,,,,,,,,,,,,,,,,
E0056,Employee_56,positive,positive,negative,,,,,,,,,,,,,,,,,
E0057,Employee_57,positive,positive,negative,,,,,,,,,,,,,,,,,
E0058,Employee_58,positive,negative,positive,,,,,,,,,,,,,,,,,
E0059,Employee_59,positive,negative,negative,,,,,,,,,,,,,,,,,
E0060,Employee_60,negative,positive,negative,,,,,,,,,,,,,,,,,
E0061,Employee_61,negative,positive,negative,negative,,,,,,,,,,,,,,,,
E0062,Employee_62,positive,positive,positive,negative,,,,,,,,,,,,,,,,
E0063,Employee_63,positive,negative,positive,negative,,,,,,,,,,,,,,,,
E0064,Employee_64,negative,negative,negative,negative,,,,,,,,,,,,,,,,
E0065,Employee_65,positive,positive,negative,positive,,,,,,,,,,,,,,,,
E0066,Employee_66,positive,positive,negative,positive,,,,,,,,,,,,,,,,
E0067,Employee_67,negative,negative,positive,positive,,,,,,,,,,,,,,,,
E0068,Employee_68,negative,negative,negative,negative,,,,,,,,,,,,,,,,
E0069,Employee_69,positive,positive,negative,positive,,,,,,,,,,,,,,,,
E0070,Employee_70,negative,negative,positive,negative,,,,,,,,,,,,,,,,
E0071,Employee_71,positive,negative,negative,positive,,,,,,,,,,,,,,,,
E0072,Employee_72,positive,negative,negative,positive,,,,,,,,,,,,,,,,
E0073,Employee_73,negative,negative,negative,negative,,,,,,,,,,,,,,,,
E0074,Employee_74,negative,negative,negative,negative,,,,,,,,,,,,,,,,
E0075,Employee_75,positive,negative,positive,negative,,,,,,,,,,,,,,,,
E0076,Employee_76,negative,positive,negative,negative,,,,,,,,,,,,,,,,
E0077,Employee_77,negative,positive,negative,negative,,,,,,,,,,,,,,,,
E0078,Employee_78,negative,positive,positive,positive,,,,,,,,,,,,,,,,
E0079,Employee_79,positive,positive,negative,negative,,,,,,,,,,,,,,,,
E0080,Employee_80,positive,negative,negative,negative,,,,,,,,,,,,,,,,
E0081,Employee_81,negative,positive,negative,negative,negative,,,,,,,,,,,,,,,
E0082,Employee_82,positive,positive,positive,negative,negative,,,,,,,,,,,,,,,
E0083,Employee_83,negative,negative,negative,negative,negative,,,,,,,,,,,,,,,
E0084,Employee_84,negative,negative,negative,positive,negative,,,,,,,,,,,,,,,
E0085,Employee_85,positive,negative,positive,positive,negative,,,,,,,,,,,,,,,
E0086,Employee_86,negative,positive,positive,negative,positive,,,,,,,,,,,,,,,
E0087,Employee_87,negative,positive,positive,positive,positive,,,,,,,,,,,,,,,
E0088,Employee_88,positive,negative,positive,positive,negative,,,,,,,,,,,,,,,
E0089,Employee_89,positive,positive,negative,positive,positive,,,,,,,,,,,,,,,
E0090,Employee_90,negative,negative,positive,negative,negative,,,,,,,,,,,,,,,
E0091,Employee_91,negative,positive,positive,negative,negative,,,,,,,,,,,,,,,
E0092,Employee_92,negative,negative,negative,positive,positive,,,,,,,,,,,,,,,
E0093,Employee_93,positive,positive,negative,negative,positive,,,,,,,,,,,,,,,
E0094,Employee_94,negative,positive,positive,positive,negative,,,,,,,,,,,,,,,
E0095,Employee_95,positive,positive,negative,positive,negative,,,,,,,,,,,,,,,
E0096,Employee_96,positive,positive,negative,positive,positive,,,,,,,,,,,,,,,
E0097,Employee_97,positive,negative,positive,negative,positive,,,,,,,,,,,,,,,
E0098,Employee_98,negative,positive,negative,negative,positive,,,,,,,,,,,,,,,
E0099,Employee_99,positive,positive,positive,positive,negative,,,,,,,,,,,,,,,
E0100,Employee_100,positive,negative,positive,negative,negative,,,,,,,,,,,,,,,
E0101,Employee_101,negative,positive,negative,negative,negative,negative,,,,,,,,,,,,,,
E0102,Employee_102,negative,negative,negative,positive,negative,negative,,,,,,,,,,,,,,
E0103,Employee_103,positive,negative,positive,positive,negative,positive,,,,,,,,,,,,,,
E0104,Employee_104,negative,positive,negative,negative,positive,positive,,,,,,,,,,,,,,
E0105,Employee_105,positive,negative,positive,positive,negative,positive,,,,,,,,,,,,,,
E0106,Employee_106,positive,negative,positive,negative,negative,positive,,,,,,,,,,,,,,
E0107,Employee_107,positive,positive,positive,positive,positive,negative,,,,,,,,,,,,,,
E0108,Employee_108,negative,positive,positive,positive,negative,positive,,,,,,,,,,,,,,
E0109,Employee_109,positive,negative,positive,positive,negative,positive,,,,,,,,,,,,,,
E0110,Employee_110,negative,positive,negative,positive,positive,negative,,,,,,,,,,,,,,
E0111,Employee_111,negative,negative,negative,positive,positive,positive,,,,,,,,,,,,,,
E0112,Employee_112,negative,negative,negative,negative,positive,positive,,,,,,,,,,,,,,
E0113,Employee_113,positive,positive,positive,negative,positive,positive,,,,,,,,,,,,,,
E0114,Employee_114,negative,negative,positive,negative,negative,positive,,,,,,,,,,,,,,
E0115,Employee_115,negative,negative,positive,negative,negative,negative,,,,,,,,,,,,,,
E0116,Employee_116,negative,positive,positive,positive,negative,negative,,,,,,,,,,,,,,
E0117,Employee_117,negative,negative,positive,positive,negative,negative,,,,,,,,,,,,,,
E0118,Employee_118,positive,negative,negative,negative,positive,positive,,,,,,,,,,,,,,
E0119,Employee_119,negative,negative,negative,positive,positive,positive,,,,,,,,,,,,,,
E0120,Employee_120,negative,negative,positive,negative,positive,negative,,,,,,,,,,,,,,
E0121,Employee_121,negative,positive,positive,negative,negative,negative,negative,,,,,,,,,,,,,
E0122,Employee_122,positive,positive,negative,positive,negative,negative,negative,,,,,,,,,,,,,
E0123,Employee_123,negative,positive,negative,negative,positive,negative,negative,,,,,,,,,,,,,
E0124,Employee_124,positive,positive,negative,positive,negative,negative,positive,,,,,,,,,,,,,
E0125,Employee_125,negative,positive,negative,negative,negative,positive,negative,,,,,,,,,,,,,
E0126,Employee_126,negative,positive,negative,positive,positive,negative,negative,,,,,,,,,,,,,
E0127,Employee_127,negative,positive,negative,negative,negative,negative,negative,,,,,,,,,,,,,
E0128,Employee_128,positive,positive,positive,negative,positive,positive,positive,,,,,,,,,,,,,
E0129,Employee_129,negative,positive,positive,positive,positive,positive,negative,,,,,,,,,,,,,
E0130,Employee_130,negative,positive,positive,positive,positive,positive,negative,,,,,,,,,,,,,
E0131,Employee_131,negative,positive,negative,negative,positive,negative,positive,,,,,,,,,,,,,
E0132,Employee_132,positive,positive,positive,negative,negative,negative,negative,,,,,,,,,,,,,
E0133,Employee_133,positive,positive,negative,negative,positive,positive,positive,,,,,,,,,,,,,
E0134,Employee_134,negative,positive,positive,negative,positive,negative,positive,,,,,,,,,,,,,
E0135,Employee_135,negative,positive,positive,positive,positive,negative,negative,,,,,,,,,,,,,
E0136,Employee_136,negative,positive,negative,negative,positive,negative,positive,,,,,,,,,,,,,
E0137,Employee_137,positive,positive,negative,negative,negative,positive,positive,,,,,,,,,,,,,
E0138,Employee_138,positive,positive,positive,positive,negative,negative,negative,,,,,,,,,,,,,
E0139,Employee_139,negative,negative,positive,negative,negative,negative,negative,,,,,,,,,,,,,
E0140,Employee_140,positive,positive,negative,positive,positive,negative,positive,,,,,,,,,,,,,
E0141,Employee_141,negative,negative,negative,positive,positive,positive,negative,negative,,,,,,,,,,,,
E0142,Employee_142,positive,positive,negative,positive,negative,positive,positive,positive,,,,,,,,,,,,
E0143,Employee_143,negative,positive,positive,positive,negative,negative,negative,positive,,,,,,,,,,,,
E0144,Employee_144,negative,negative,positive,negative,positive,negative,negative,positive,,,,,,,,,,,,
E0145,Employee_145,positive,positive,positive,negative,negative,positive,positive,negative,,,,,,,,,,,,
E0146,Employee_146,negative,negative,negative,negative,positive,negative,negative,positive,,,,,,,,,,,,
E0147,Employee_147,negative,positive,negative,positive,positive,positive,negative,negative,,,,,,,,,,,,
E0148,Employee_148,negative,negative,positive,negative,negative,negative,negative,negative,,,,,,,,,,,,
E0149,Employee_149,negative,negative,positive,positive,positive,positive,negative,positive,,,,,,,,,,,,
E0150,Employee_150,negative,positive,positive,negative,negative,positive,positive,negative,,,,,,,,,,,,
E0151,Employee_151,positive,negative,negative,positive,positive,positive,negative,positive,,,,,,,,,,,,
E0152,Employee_152,negative,negative,positive,positive,negative,negative,positive,negative,,,,,,,,,,,,
E0153,Employee_153,negative,negative,positive,negative,negative,negative,positive,positive,,,,,,,,,,,,
E0154,Employee_154,positive,negative,positive,positive,positive,positive,negative,negative,,,,,,,,,,,,
E0155,Employee_155,positive,positive,positive,positive,positive,positive,positive,negative,,,,,,,,,,,,
E0156,Employee_156,negative,negative,negative,negative,negative,positive,positive,positive,,,,,,,,,,,,
E0157,Employee_157,positive,negative,positive,negative,negative,negative,positive,positive,,,,,,,,,,,,
E0158,Employee_158,positive,positive,positive,positive,positive,negative,negative,negative,,,,,,,,,,,,
E0159,Employee_159,negative,negative,negative,positive,positive,negative,negative,positive,,,,,,,,,,,,
E0160,Employee_160,negative,negative,positive,negative,negative,negative,positive,negative,,,,,,,,,,,,
E0161,Employee_161,negative,negative,negative,negative,negative,positive,negative,negative,negative,,,,,,,,,,,
E0162,Employee_162,negative,negative,negative,positive,negative,negative,positive,positive,negative,,,,,,,,,,,
E0163,Employee_163,negative,positive,negative,negative,positive,negative,negative,negative,negative,,,,,,,,,,,
E0164,Employee_164,positive,positive,negative,negative,negative,positive,negative,positive,positive,,,,,,,,,,,
E0165,Employee_165,negative,positive,negative,positive,negative,negative,negative,positive,negative,,,,,,,,,,,
E0166,Employee_166,negative,negative,positive,positive,positive,negative,positive,positive,negative,,,,,,,,,,,
E0167,Employee_167,negative,negative,negative,positive,positive,positive,positive,positive,negative,,,,,,,,,,,
E0168,Employee_168,positive,positive,negative,negative,positive,negative,positive,positive,negative,,,,,,,,,,,
E0169,Employee_169,positive,negative,negative,negative,negative,negative,negative,positive,positive,,,,,,,,,,,
E0170,Employee_170,positive,positive,positive,negative,positive,positive,positive,positive,positive,,,,,,,,,,,
E0171,Employee_171,negative,negative,negative,negative,negative,negative,positive,negative,positive,,,,,,,,,,,
E0172,Employee_172,positive,positive,positive,positive,negative,positive,positive,negative,positive,,,,,,,,,,,
E0173,Employee_173,negative,negative,negative,positive,negative,negative,negative,negative,negative,,,,,,,,,,,
E0174,Employee_174,positive,negative,positive,positive,positive,negative,positive,negative,positive,,,,,,,,,,,
E0175,Employee_175,negative,negative,positive,negative,positive,negative,negative,negative,positive,,,,,,,,,,,
E0176,Employee_176,negative,positive,positive,positive,negative,positive,negative,positive,positive,,,,,,,,,,,
E0177,Employee_177,positive,negative,positive,negative,negative,negative,negative,positive,positive,,,,,,,,,,,
E0178,Employee_178,positive,negative,negative,negative,positive,positive,negative,negative,negative,,,,,,,,,,,
E0179,Employee_179,positive,positive,negative,positive,negative,positive,positive,positive,negative,,,,,,,,,,,
E0180,Employee_180,negative,negative,positive,negative,positive,negative,positive,negative,positive,,,,,,,,,,,
E0181,Employee_181,positive,positive,positive,positive,negative,negative,positive,positive,negative,positive,,,,,,,,,,
E0182,Employee_182,positive,negative,negative,positive,positive,positive,positive,negative,positive,positive,,,,,,,,,,
E0183,Employee_183,negative,positive,negative,negative,positive,negative,positive,positive,positive,negative,,,,,,,,,,
E0184,Employee_184,positive,negative,negative,positive,negative,negative,positive,positive,negative,negative,,,,,,,,,,
E0185,Employee_185,negative,negative,positive,positive,negative,negative,negative,negative,negative,positive,,,,,,,,,,
E0186,Employee_186,positive,positive,negative,positive,negative,negative,negative,positive,negative,negative,,,,,,,,,,
E0187,Employee_187,positive,positive,negative,negative,positive,negative,positive,negative,positive,positive,,,,,,,,,,
E0188,Employee_188,positive,positive,positive,negative,positive,negative,positive,negative,negative,positive,,,,,,,,,,
E0189,Employee_189,negative,positive,positive,negative,positive,positive,negative,positive,positive,negative,,,,,,,,,,
E0190,Employee_190,negative,negative,negative,positive,negative,positive,positive,negative,negative,positive,,,,,,,,,,
E0191,Employee_191,negative,negative,negative,positive,positive,positive,negative,positive,negative,positive,,,,,,,,,,
E0192,Employee_192,negative,positive,positive,negative,negative,positive,negative,positive,positive,positive,,,,,,,,,,
E0193,Employee_193,positive,negative,negative,negative,positive,positive,negative,negative,positive,negative,,,,,,,,,,
E0194,Employee_194,positive,positive,positive,negative,negative,positive,positive,negative,negative,negative,,,,,,,,,,
E0195,Employee_195,positive,positive,negative,positive,negative,positive,positive,negative,positive,negative,,,,,,,,,,
E0196,Employee_196,negative,negative,positive,negative,positive,positive,positive,negative,positive,negative,,,,,,,,,,
E0197,Employee_197,negative,positive,negative,negative,negative,negative,positive,negative,negative,negative,,,,,,,,,,
E0198,Employee_198,negative,positive,negative,negative,negative,positive,negative,negative,negative,positive,,,,,,,,,,
E0199,Employee_199,negative,negative,positive,positive,positive,positive,positive,negative,positive,negative,,,,,,,,,,
E0200,Employee_200,positive,negative,negative,negative,positive,negative,positive,negative,negative,positive,,,,,,,,,,
E0201,Employee_201,negative,positive,positive,negative,positive,negative,negative,negative,negative,negative,negative,,,,,,,,,
E0202,Employee_202,negative,negative,positive,positive,positive,positive,positive,positive,positive,positive,negative,,,,,,,,,
E0203,Employee_203,negative,positive,positive,positive,positive,negative,negative,positive,positive,positive,positive,,,,,,,,,
E0204,Employee_204,negative,positive,positive,negative,negative,negative,positive,negative,negative,positive,positive,,,,,,,,,
E0205,Employee_205,positive,positive,positive,positive,negative,positive,negative,positive,negative,positive,negative,,,,,,,,,
E0206,Employee_206,positive,negative,negative,positive,negative,positive,negative,negative,positive,negative,positive,,,,,,,,,
E0207,Employee_207,negative,positive,positive,negative,positive,positive,negative,positive,negative,negative,negative,,,,,,,,,
E0208,Employee_208,negative,positive,positive,negative,positive,negative,positive,negative,positive,positive,positive,,,,,,,,,
E0209,Employee_209,negative,negative,positive,positive,negative,positive,positive,positive,negative,negative,negative,,,,,,,,,
E0210,Employee_210,positive,negative,positive,negative,negative,positive,negative,positive,negative,negative,negative,,,,,,,,,
E0211,Employee_211,positive,negative,positive,negative,positive,positive,negative,negative,negative,negative,negative,,,,,,,,,
E0212,Employee_212,positive,negative,positive,positive,negative,negative,positive,negative,negative,positive,positive,,,,,,,,,
E0213,Employee_213,negative,positive,negative,positive,positive,negative,negative,negative,negative,negative,negative,,,,,,,,,
E0214,Employee_214,positive,negative,positive,positive,positive,positive,negative,negative,positive,negative,positive,,,,,,,,,
E0215,Employee_215,positive,negative,negative,positive,negative,positive,negative,negative,negative,positive,positive,,,,,,,,,
E0216,Employee_216,negative,negative,positive,positive,positive,positive,positive,positive,negative,negative,positive,,,,,,,,,
E0217,Employee_217,negative,negative,negative,negative,negative,negative,positive,negative,negative,positive,negative,,,,,,,,,
E0218,Employee_218,negative,negative,negative,negative,negative,positive,positive,negative,positive,negative,negative,,,,,,,,,
E0219,Employee_219,positive,positive,negative,positive,negative,positive,positive,positive,positive,positive,positive,,,,,,,,,
E0220,Employee_220,positive,positive,negative,positive,positive,negative,negative,positive,positive,positive,positive,,,,,,,,,
E0221,Employee_221,positive,positive,negative,negative,positive,positive,negative,negative,positive,positive,negative,positive,,,,,,,,
E0222,Employee_222,positive,positive,positive,positive,positive,positive,positive,negative,positive,positive,positive,positive,,,,,,,,
E0223,Employee_223,positive,positive,negative,negative,positive,positive,positive,negative,negative,negative,positive,negative,,,,,,,,
E0224,Employee_224,negative,negative,negative,negative,positive,negative,negative,negative,positive,negative,positive,negative,,,,,,,,
E0225,Employee_225,positive,positive,positive,negative,negative,positive,negative,negative,negative,negative,positive,negative,,,,,,,,
E0226,Employee_226,negative,negative,negative,positive,positive,negative,negative,negative,negative,positive,negative,positive,,,,,,,,
E0227,Employee_227,positive,negative,positive,positive,negative,negative,negative,positive,positive,negative,positive,negative,,,,,,,,
E0228,Employee_228,positive,negative,negative,negative,negative,positive,negative,negative,positive,negative,positive,positive,,,,,,,,
E0229,Employee_229,positive,positive,negative,positive,positive,positive,negative,positive,negative,negative,positive,positive,,,,,,,,
E0230,Employee_230,positive,negative,positive,negative,negative,negative,negative,negative,positive,positive,positive,negative,,,,,,,,
E0231,Employee_231,positive,positive,negative,positive,positive,negative,negative,negative,negative,negative,positive,positive,,,,,,,,
E0232,Employee_232,negative,positive,negative,positive,positive,positive,positive,positive,negative,negative,negative,positive,,,,,,,,
E0233,Employee_233,positive,negative,negative,negative,positive,positive,positive,negative,positive,positive,positive,negative,,,,,,,,
E0234,Employee_234,positive,negative,negative,negative,positive,negative,negative,negative,negative,positive,positive,negative,,,,,,,,
E0235,Employee_235,positive,positive,positive,positive,negative,negative,positive,positive,negative,positive,negative,positive,,,,,,,,
E0236,Employee_236,negative,negative,negative,negative,negative,negative,positive,negative,negative,positive,negative,negative,,,,,,,,
E0237,Employee_237,positive,negative,positive,positive,negative,negative,negative,positive,positive,positive,positive,negative,,,,,,,,
E0238,Employee_238,positive,negative,negative,negative,positive,negative,negative,positive,negative,negative,positive,negative,,,,,,,,
E0239,Employee_239,negative,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,negative,,,,,,,,
E0240,Employee_240,negative,negative,positive,negative,negative,positive,negative,positive,negative,negative,negative,positive,,,,,,,,
E0241,Employee_241,negative,positive,positive,positive,positive,negative,negative,positive,negative,positive,negative,positive,negative,,,,,,,
E0242,Employee_242,positive,negative,negative,negative,positive,positive,negative,positive,positive,negative,negative,positive,positive,,,,,,,
E0243,Employee_243,positive,positive,positive,negative,negative,negative,negative,negative,positive,positive,negative,positive,positive,,,,,,,
E0244,Employee_244,positive,positive,negative,positive,negative,positive,negative,negative,positive,negative,positive,negative,positive,,,,,,,
E0245,Employee_245,positive,positive,positive,positive,positive,negative,negative,negative,negative,negative,positive,positive,negative,,,,,,,
E0246,Employee_246,positive,positive,negative,positive,negative,negative,positive,negative,positive,positive,positive,positive,positive,,,,,,,
E0247,Employee_247,negative,positive,negative,negative,negative,negative,negative,positive,negative,negative,positive,negative,negative,,,,,,,
E0248,Employee_248,negative,negative,negative,negative,positive,positive,positive,positive,negative,negative,negative,positive,negative,,,,,,,
E0249,Employee_249,positive,negative,positive,positive,positive,positive,negative,positive,negative,negative,negative,negative,positive,,,,,,,
E0250,Employee_250,positive,positive,positive,negative,negative,negative,positive,negative,positive,positive,negative,negative,positive,,,,,,,
E0251,Employee_251,positive,negative,negative,negative,negative,negative,positive,positive,negative,negative,negative,positive,negative,,,,,,,
E0252,Employee_252,negative,negative,negative,negative,negative,positive,positive,negative,negative,negative,positive,negative,negative,,,,,,,
E0253,Employee_253,negative,positive,positive,positive,negative,negative,negative,negative,negative,positive,negative,negative,negative,,,,,,,
E0254,Employee_254,negative,positive,positive,positive,positive,negative,positive,positive,positive,positive,negative,positive,positive,,,,,,,
E0255,Employee_255,positive,positive,negative,negative,negative,positive,negative,negative,negative,positive,positive,negative,positive,,,,,,,
E0256,Employee_256,negative,negative,positive,negative,positive,positive,negative,positive,positive,negative,positive,positive,positive,,,,,,,
E0257,Employee_257,negative,negative,positive,positive,negative,positive,negative,negative,negative,positive,positive,positive,positive,,,,,,,
E0258,Employee_258,negative,negative,negative,positive,positive,positive,positive,negative,positive,positive,negative,negative,positive,,,,,,,
E0259,Employee_259,negative,positive,negative,negative,negative,negative,positive,positive,negative,negative,negative,negative,positive,,,,,,,
E0260,Employee_260,negative,negative,negative,negative,negative,negative,positive,negative,negative,positive,positive,positive,negative,,,,,,,
E0261,Employee_261,positive,positive,positive,positive,negative,negative,negative,negative,positive,negative,positive,positive,negative,positive,,,,,,
E0262,Employee_262,negative,positive,negative,negative,positive,positive,negative,positive,negative,positive,positive,negative,positive,negative,,,,,,
E0263,Employee_263,positive,negative,negative,negative,positive,positive,positive,positive,positive,positive,positive,positive,negative,negative,,,,,,
E0264,Employee_264,positive,negative,positive,negative,negative,positive,positive,positive,positive,positive,negative,negative,positive,positive,,,,,,
E0265,Employee_265,positive,positive,positive,negative,positive,positive,negative,positive,negative,negative,positive,positive,positive,positive,,,,,,
E0266,Employee_266,positive,positive,positive,positive,negative,negative,negative,positive,positive,positive,negative,positive,positive,negative,,,,,,
E0267,Employee_267,negative,positive,positive,negative,positive,negative,positive,positive,negative,positive,negative,negative,negative,negative,,,,,,
E0268,Employee_268,negative,positive,positive,negative,positive,positive,positive,positive,negative,positive,positive,negative,negative,negative,,,,,,
E0269,Employee_269,negative,negative,positive,negative,negative,positive,positive,negative,negative,positive,positive,positive,negative,negative,,,,,,
E0270,Employee_270,negative,positive,negative,negative,negative,negative,positive,positive,positive,positive,negative,positive,positive,positive,,,,,,
E0271,Employee_271,negative,positive,positive,positive,positive,positive,negative,positive,negative,positive,positive,positive,negative,negative,,,,,,
E0272,Employee_272,positive,positive,positive,positive,negative,negative,negative,negative,positive,positive,positive,negative,positive,positive,,,,,,
E0273,Employee_273,positive,negative,negative,negative,negative,positive,positive,positive,positive,positive,negative,positive,positive,negative,,,,,,
E0274,Employee_274,negative,positive,negative,positive,negative,positive,positive,negative,negative,negative,negative,positive,positive,positive,,,,,,
E0275,Employee_275,negative,positive,positive,positive,positive,negative,positive,negative,positive,positive,positive,negative,positive,negative,,,,,,
E0276,Employee_276,negative,positive,negative,positive,positive,positive,negative,positive,negative,positive,negative,negative,positive,negative,,,,,,
E0277,Employee_277,positive,positive,negative,positive,positive,positive,positive,negative,negative,positive,negative,positive,positive,positive,,,,,,
E0278,Employee_278,negative,positive,negative,positive,positive,positive,negative,negative,negative,positive,negative,positive,positive,negative,,,,,,
E0279,Employee_279,negative,negative,positive,positive,negative,positive,negative,positive,negative,positive,negative,positive,negative,positive,,,,,,
E0280,Employee_280,negative,negative,positive,positive,positive,positive,negative,positive,positive,negative,negative,positive,positive,positive,,,,,,
E0281,Employee_281,negative,positive,negative,negative,negative,negative,positive,negative,negative,negative,positive,negative,positive,negative,negative,,,,,
E0282,Employee_282,negative,positive,negative,negative,positive,negative,positive,negative,positive,negative,positive,negative,negative,positive,positive,,,,,
E0283,Employee_283,negative,positive,positive,negative,positive,positive,positive,negative,negative,negative,positive,positive,positive,negative,positive,,,,,
E0284,Employee_284,positive,positive,positive,negative,negative,negative,positive,positive,negative,negative,negative,negative,positive,positive,positive,,,,,
E0285,Employee_285,positive,positive,negative,positive,positive,positive,negative,positive,positive,negative,positive,positive,negative,positive,positive,,,,,
E0286,Employee_286,negative,positive,negative,positive,negative,positive,negative,negative,negative,positive,negative,positive,negative,positive,negative,,,,,
E0287,Employee_287,positive,negative,positive,positive,positive,positive,positive,positive,negative,positive,negative,negative,negative,negative,positive,,,,,
E0288,Employee_288,negative,negative,negative,positive,negative,negative,negative,negative,positive,positive,positive,negative,negative,positive,negative,,,,,
E0289,Employee_289,negative,positive,negative,positive,positive,negative,positive,negative,negative,positive,positive,positive,negative,positive,negative,,,,,
E0290,Employee_290,negative,positive,negative,negative,negative,positive,positive,negative,positive,positive,negative,positive,negative,positive,negative,,,,,
E0291,Employee_291,negative,positive,negative,positive,positive,positive,negative,negative,positive,positive,positive,positive,positive,negative,negative,,,,,
E0292,Employee_292,positive,positive,positive,positive,positive,positive,positive,positive,positive,negative,positive,positive,negative,negative,negative,,,,,
E0293,Employee_293,negative,negative,negative,positive,negative,negative,positive,positive,positive,negative,negative,negative,negative,negative,positive,,,,,
E0294,Employee_294,positive,positive,negative,positive,positive,positive,negative,positive,positive,negative,positive,negative,negative,negative,negative,,,,,
E0295,Employee_295,positive,positive,negative,positive,negative,positive,negative,positive,positive,negative,negative,positive,positive,positive,negative,,,,,
E0296,Employee_296,negative,negative,negative,negative,positive,positive,negative,negative,negative,negative,negative,negative,positive,negative,negative,,,,,
E0297,Employee_297,positive,negative,negative,positive,negative,positive,positive,positive,positive,positive,negative,negative,negative,negative,negative,,,,,
